session_code,participant_code,offer_price,transaction_price,discount,purchased,last_return,last_imbalance,informative,belief_informative,belief_confidence,return_forecast,forecast_confidence,investment_amount,age,gender,education,finance_course,fin_literacy_score
cbctgbhm,1r5smf0i,15,6,9,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,10.0,4.0,44.0,29.0,female,graduate,0.0,3.0
cbctgbhm,vy3pgg4a,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,3.0,45.0,3.0,28.0,55.0,female,some_college,0.0,2.0
cbctgbhm,ef01sb2j,15,0,15,0.0,15.1098174886843,-18.5046274258981,1,,,15.0,1.0,100.0,50.0,male,graduate,0.0,3.0
cbctgbhm,xipknoz3,5,0,5,0.0,14.5282644745692,7.35487993020429,1,,,18.0,3.0,10.0,31.0,male,bachelor,1.0,2.0
cbctgbhm,b2uipch9,15,0,15,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,4.0,4.0,60.0,28.0,female,graduate,1.0,3.0
cbctgbhm,apckfwtw,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,2.0,4.0,7.0,54.0,male,bachelor,0.0,3.0
cbctgbhm,djw5oxe3,10,3,7,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,-5.0,4.0,0.0,25.0,male,graduate,1.0,3.0
cbctgbhm,9a0wfiu0,15,3,12,0.0,15.1098174886843,-18.5046274258981,1,,,20.0,4.0,80.0,29.0,female,bachelor,0.0,3.0
cbctgbhm,1aj2vczm,10,6,4,1.0,15.1098174886843,-18.5046274258981,1,1.0,2.0,5.0,2.0,5.0,35.0,male,graduate,0.0,3.0
cbctgbhm,5nq9614a,15,9,6,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,16.0,3.0,20.0,36.0,male,bachelor,1.0,3.0
cbctgbhm,qt7lrq19,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,3.0,5.0,2.0,25.0,36.0,male,highschool,1.0,3.0
cbctgbhm,hg2h509x,10,0,10,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,-15.0,3.0,0.0,35.0,male,bachelor,0.0,3.0
cbctgbhm,qi95vf6f,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,22.0,3.0,25.0,32.0,male,graduate,0.0,3.0
cbctgbhm,09vce9ix,5,0,5,1.0,14.5282644745692,7.35487993020429,1,1.0,5.0,15.0,4.0,100.0,32.0,male,graduate,1.0,3.0
cbctgbhm,ohzpgr5g,10,0,10,0.0,15.1098174886843,-18.5046274258981,1,,,20.0,4.0,20.0,27.0,male,graduate,1.0,3.0
cbctgbhm,11pdpdgk,15,0,15,1.0,15.3352032889933,8.30613918663683,0,0.0,3.0,20.0,3.0,50.0,23.0,female,graduate,0.0,3.0
cbctgbhm,v8nsvv7e,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,3.0,25.0,3.0,30.0,36.0,female,graduate,1.0,3.0
cbctgbhm,esld9d39,10,3,7,1.0,15.3352032889933,8.30613918663683,0,1.0,3.0,12.0,3.0,70.0,47.0,female,bachelor,1.0,3.0
cbctgbhm,tv4iru5c,15,3,12,0.0,15.6552619854883,-10.6145146455845,0,,,25.0,4.0,5.0,24.0,male,some_college,0.0,2.0
cbctgbhm,7tohzg3v,10,6,4,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,20.0,3.0,40.0,67.0,female,bachelor,0.0,3.0
cbctgbhm,dpdlla7p,15,9,6,1.0,15.1098174886843,-18.5046274258981,1,0.0,5.0,10.0,5.0,10.0,21.0,female,bachelor,1.0,3.0
cbctgbhm,pyp9a4rm,5,0,5,0.0,15.3352032889933,8.30613918663683,0,,,20.0,4.0,40.0,30.0,male,some_college,0.0,1.0
cbctgbhm,ek0p325x,10,0,10,1.0,14.5282644745692,7.35487993020429,1,1.0,5.0,30.0,3.0,100.0,30.0,female,graduate,1.0,3.0
cbctgbhm,hru3uz99,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,25.0,3.0,25.0,21.0,male,bachelor,0.0,3.0
cbctgbhm,veremfe3,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,15.0,4.0,65.0,37.0,male,bachelor,1.0,3.0
cbctgbhm,t3kw11ok,10,0,10,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,22.0,3.0,30.0,26.0,male,graduate,1.0,3.0
cbctgbhm,7rbfa5ag,15,0,15,0.0,15.6552619854883,-10.6145146455845,0,,,5.0,5.0,20.0,25.0,male,some_college,1.0,3.0
cbctgbhm,vtimvg3e,5,3,2,0.0,15.3352032889933,8.30613918663683,0,,,2.0,3.0,55.0,26.0,female,graduate,0.0,3.0
cbctgbhm,v1jv8pif,10,3,7,1.0,15.3352032889933,8.30613918663683,0,1.0,3.0,19.0,2.0,24.0,68.0,male,some_college,0.0,3.0
cbctgbhm,ag29ky4f,15,3,12,1.0,14.5282644745692,7.35487993020429,1,1.0,2.0,15.0,3.0,50.0,34.0,female,bachelor,0.0,3.0
cbctgbhm,60s5pf54,10,6,4,1.0,15.6552619854883,-10.6145146455845,0,1.0,3.0,12.0,3.0,30.0,31.0,female,bachelor,0.0,2.0
cbctgbhm,kx6fx4be,15,6,9,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,0.0,4.0,0.0,67.0,female,bachelor,1.0,3.0
